date,1. open,2. high,3. low,4. close,5. volume
2020-09-08 17:21:00,7.05,7.05,7.05,7.05,528.0
2020-09-08 17:20:00,7.05,7.05,7.05,7.05,628.0
2020-09-08 17:19:00,7.05,7.05,7.0498,7.0498,1393.0
2020-09-08 17:17:00,7.05,7.05,7.05,7.05,155.0
2020-09-08 17:14:00,7.04,7.04,7.04,7.04,3633.0
2020-09-08 17:13:00,7.03,7.0302,7.03,7.0302,2016.0
2020-09-08 17:12:00,7.03,7.03,7.03,7.03,359.0
2020-09-08 17:11:00,7.04,7.04,7.0398,7.0398,420.0
2020-09-08 17:07:00,7.0498,7.0498,7.0498,7.0498,483.0
2020-09-08 17:03:00,7.0498,7.0498,7.0498,7.0498,186.0
2020-09-08 17:02:00,7.05,7.05,7.0302,7.0302,588.0
2020-09-08 17:00:00,7.0498,7.0498,7.03,7.03,520.0
2020-09-08 16:59:00,7.03,7.03,7.03,7.03,190.0
2020-09-08 16:58:00,7.0302,7.0302,7.0302,7.0302,204.0
2020-09-08 16:57:00,7.04,7.04,7.03,7.03,605.0
2020-09-08 16:56:00,7.04,7.05,7.04,7.05,2783.0
2020-09-08 16:54:00,7.0402,7.0498,7.0402,7.0498,295.0
2020-09-08 16:53:00,7.05,7.05,7.05,7.05,2879.0
2020-09-08 16:51:00,7.0498,7.0498,7.0498,7.0498,157.0
2020-09-08 16:49:00,7.04,7.04,7.04,7.04,7045.0
2020-09-08 16:46:00,7.04,7.04,7.04,7.04,1122.0
2020-09-08 16:45:00,7.05,7.05,7.05,7.05,2613.0
2020-09-08 16:44:00,7.0402,7.0402,7.0402,7.0402,1269.0
2020-09-08 16:43:00,7.0402,7.0402,7.0402,7.0402,810.0
2020-09-08 16:42:00,7.0402,7.0402,7.0402,7.0402,522.0
2020-09-08 16:41:00,7.04,7.05,7.04,7.05,1290.0
2020-09-08 16:39:00,7.04,7.04,7.04,7.04,344.0
2020-09-08 16:36:00,7.03,7.04,7.03,7.04,751.0
2020-09-08 16:35:00,7.04,7.04,7.04,7.04,550.0
2020-09-08 16:34:00,7.0302,7.0398,7.03,7.03,1213.0
2020-09-08 16:32:00,7.04,7.04,7.03,7.03,73506.0
2020-09-08 16:30:00,7.04,7.04,7.03,7.03,517.0
2020-09-08 16:29:00,7.04,7.0402,7.04,7.0402,518.0
2020-09-08 16:28:00,7.05,7.05,7.04,7.0402,844.0
2020-09-08 16:27:00,7.0402,7.0402,7.0402,7.0402,261.0
